State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8414315867718253	0.08305955147778174	0.02053302162784253	0.053824453372380635	0.0	7.558449348577333E-4	3.9554181531211796E-4	0.0	0.0	0.0
2	0.06915105471640257	0.6717051168174538	0.2183708740298687	0.0031410139560479394	0.0	0.008309390062164529	0.02156199478059019	0.0	0.0076209258532339876	1.396297842382864E-4
3	0.0069899554599417435	0.08525358169382406	0.7057190832447908	0.004400739665283113	9.304967548979353E-4	0.09537803638722833	0.09066155316280784	0.005797110599184157	0.002763899594636009	0.002105543437406074
4	0.06451353587764784	0.004075372042973012	0.015644584444815035	0.80222995749424	0.09753707947021391	0.004007163118761948	0.0	0.0	0.0	0.011992307551348285
5	0.0	4.102092800319959E-6	9.891646119834124E-4	0.02371910347610451	0.9440314921125729	0.024600312013762095	0.0	0.0	0.0	0.006655825692776865
6	2.5235776989857506E-5	7.195654205563696E-4	0.01904400557226592	2.365105996057763E-4	0.005247110969867991	0.9632762295100685	9.281465309200839E-4	0.0014949366324511592	1.9238211079367917E-5	0.009009020776194962
7	5.395694678178642E-6	3.13298410322307E-4	0.0031995151206513158	0.0	0.0	1.4763765908133248E-4	0.9884426260426995	0.005367308651321448	0.002524218421245824	0.0
8	0.0	0.0	0.008885150725493044	0.0	0.0	0.011256907448118005	0.21799643386199405	0.7535032021131272	0.008090731326682596	2.675745245851552E-4
9	0.0	0.0010005774162906858	9.324054203317802E-4	0.0	0.0	2.0061638818657386E-5	0.022872270499210787	0.0017743822348781373	0.9734003027904696	0.0
10	0.0	5.9573004075406896E-5	0.0013119121607633726	0.0018611013402169312	0.0043907311769587586	0.028451234116591385	0.0	1.727601199595824E-4	0.0	0.9637526880814343
